Los	['L', 'AO1', 'S']
Angeles	['AE1', 'N', 'JH', 'AH0', 'L', 'IH0', 'S']
CNN	['S', 'IY1', 'EH1', 'N', 'EH1', 'N']
The	['DH', 'IY0']
term	['T', 'ER1', 'M']
wine	['W', 'AY1', 'N']
cave	['K', 'EY1', 'V']
was	['W', 'AO1', 'Z']
thrown	['TH', 'R', 'OW1', 'N']
around	['ER0', 'AW1', 'N']
repeatedly	['R', 'IH0', 'P', 'IY1', 'T', 'IH0', 'D', 'L', 'IY0']
Thursday	['TH', 'ER1', 'Z', 'D', 'IY0']
night	['N', 'AY1', 'T']
at	['AE1', 'T']
the	['DH', 'IY0']
Democratic	['D', 'EH2', 'M', 'AH0', 'K', 'R', 'AE1', 'T', 'IH0', 'K']
presidential	['P', 'R', 'EH2', 'Z', 'AH0', 'D', 'EH1', 'N', 'SH', 'AH0', 'L']
debate	['D', 'AH0', 'B', 'EY1', 'T']
during	['D', 'ER1', 'IH0', 'NG']
an	['AH0', 'N']
exchange	['IH0', 'K', 'S', 'CH', 'EY1', 'N', 'JH']
over	['OW1', 'V', 'ER0']
how	['HH', 'AW1']
Pete	['P', 'IY1', 'T']
Buttigieg	Buttigieg
is	['IH0', 'Z']
funding	['F', 'AH1', 'N', 'D', 'IH0', 'NG']
his	['HH', 'IH0', 'Z']
campaign	['K', 'AE0', 'M', 'P', 'EY1', 'N']
Here's	['HH', 'IY1', 'R']
why	['HH', 'W', 'AY1']
The	['DH', 'IY0']
South	['S', 'AW1', 'TH']
Bend	['B', 'EH1', 'N', 'D']
Indiana	['IH2', 'N', 'D', 'IY0', 'AE1', 'N', 'AH0']
mayor	['M', 'EY1', 'ER0']
headlined	['HH', 'EH1', 'D', 'L', 'AY2', 'N', 'D']
a	['EY1']
fundraiser	['F', 'AH1', 'N', 'D', 'R', 'EY2', 'Z', 'ER0']
earlier	['ER1', 'L', 'IY0', 'ER0']
this	['DH', 'IH0', 'S']
month	['M', 'AH1', 'N', 'TH']
in	['IH1', 'N']
Rutherford	['R', 'AH1', 'TH', 'ER0', 'F', 'ER0', 'D']
California	['K', 'AE2', 'L', 'AH0', 'F', 'AO1', 'R', 'N', 'Y', 'AH0']
at	['AE1', 'T']
Hall	['HH', 'AO1', 'L']
Wines	['W', 'AY1', 'N', 'Z']
a	['EY1']
winery	['W', 'AY1', 'N', 'ER0', 'IY0']
owned	['OW1', 'N', 'D']
by	['B', 'AY1']
Kathryn	['K', 'AE1', 'TH', 'R', 'IH0', 'N']
Hall	['HH', 'AO1', 'L']
who	['HH', 'UW1']
was	['W', 'AO1', 'Z']
the	['DH', 'IY0']
US	['Y', 'UW1', 'EH1', 'S']
ambassador	['AE0', 'M', 'B', 'AE1', 'S', 'AH0', 'D', 'ER0']
to	['T', 'AH0']
Austria	['AO1', 'S', 'T', 'R', 'IY0', 'AH0']
from	['F', 'ER0', 'M']
nineteen	['N', 'AY1', 'N', 'T', 'IY1', 'N']
ninety	['N', 'AY1', 'N', 'T', 'IY0']
eight	['EY1', 'T']
to	['T', 'AH0']
two	['T', 'UW1']
thousand	['TH', 'AW1', 'Z', 'AH0', 'N']
and	['AE1', 'N', 'D']
one	['HH', 'W', 'AH1', 'N']
and	['AE1', 'N', 'D']
her	['HH', 'ER1']
husband	['HH', 'AH1', 'Z', 'B', 'AH0', 'N', 'D']
Craig	['K', 'R', 'EY1', 'G']
Part	['P', 'AA1', 'R', 'T']
of	['AH0', 'V']
the	['DH', 'IY0']
event	['IY0', 'V', 'EH1', 'N', 'T']
took	['T', 'UH1', 'K']
place	['P', 'L', 'EY1', 'S']
in	['IH1', 'N']
a	['EY1']
so	['S', 'OW1']
called	['K', 'AO1', 'L', 'D']
wine	['W', 'AY1', 'N']
cave	['K', 'EY1', 'V']
under	['AH1', 'N', 'D', 'ER0']
a	['EY1']
chandelier	['SH', 'AE0', 'N', 'D', 'AH0', 'L', 'IH1', 'R']
of	['AH0', 'V']
one	['HH', 'W', 'AH1', 'N']
thousand	['TH', 'AW1', 'Z', 'AH0', 'N']
five	['F', 'AY1', 'V']
hundred	['HH', 'AH1', 'N', 'D', 'ER0', 'D']
Swarovski	['S', 'W', 'AA0', 'R', 'AA1', 'V', 'S', 'K', 'IY0']
crystals	['K', 'R', 'IH1', 'S', 'T', 'AH0', 'L', 'Z']
Photos	['F', 'OW1', 'T', 'OW2', 'Z']
were	['W', 'ER1']
posted	['P', 'OW1', 'S', 'T', 'IH0', 'D']
online	['AO1', 'N', 'L', 'AY2', 'N']
of	['AH0', 'V']
Buttigieg	Buttigieg
sitting	['S', 'IH1', 'T', 'IH0', 'NG']
beneath	['B', 'IH0', 'N', 'IY1', 'TH']
the	['DH', 'IY0']
chandelier	['SH', 'AE0', 'N', 'D', 'AH0', 'L', 'IH1', 'R']
leading	['L', 'IY1', 'D', 'IH0', 'NG']
to	['T', 'AH0']
him	['IH0', 'M']
being	['B', 'IY1', 'IH0', 'NG']
roundly	['R', 'AW1', 'N', 'D', 'L', 'IY0']
mocked	['M', 'AA1', 'K', 'T']
for	['F', 'R', 'ER0']
the	['DH', 'IY0']
event	['IY0', 'V', 'EH1', 'N', 'T']
and	['AE1', 'N', 'D']
adding	['AE1', 'D', 'IH0', 'NG']
